hotel_id,name,location,website_url,phone,current_amenities,description (write 2-3 sentences),price_range (budget/mid-range/luxury),price_min_usd,price_max_usd,"rating (0-5, only if you can verify one)",review_summary (1-2 sentences),nearby_attractions (comma-separated)
KE-MOMBAS-008,Sentrim Castle Royal Hotel,Mombasa,https://sentrimcastleroyalhotel.com-kenya.com/en/,+254 41 2228780,"wifi, air conditioning",,,,,,,
KE-MOMBAS-003,Travellers Beach Hotel,Mombasa,https://www.travellersbeach.com/,+254 41 5485121,,,,,,,,
KE-MOMBAS-010,The Reef hotel,Mombasa,https://reefhotelkenya.com/,(+254) 736 474 005,,,,,,,,
KE-MOMBAS-087,Plaza Beach Hotel,Mombasa,https://www.plaza-beach.co.ke/,+254 723 661 008,,,,,,,,
KE-MOMBAS-023,T/A Masters Hotel,Mombasa,http://www.safisafihotels.com,254786863004,wifi,,,,,,,
KE-MOMBAS-106,Kenya Bay Beach Hotel,Mombasa,http://www.kenyabay.com,+254 041 5487600;+254 725 991500,air conditioning,,,,,,,
KE-MOMBAS-004,Bamburi Beach Hotel,Mombasa,https://bamburibeachkenya.com/,,,,,,,,,
KE-MOMBAS-018,Premium Inn Hotel Mombasa,Mombasa,https://www.premiuminn.co.ke/,+254 768 444888,,,,,,,,
KE-MOMBAS-077,Al-Yusra Palm Tree Hotel,Mombasa,https://palmtreehotel.co.ke/,+254 711 530 000,,,,,,,,
KE-MOMBAS-107,Severin Sea Lodge,Mombasa,https://severinsealodge.com/,,,,,,,,,
KE-MOMBAS-027,CDH Backpacker's,Mombasa,,+254722364148,wifi,,,,,,,
KE-MOMBAS-091,Tulia Old Town,Mombasa,,+254 711 955955,wifi,,,,,,,
KE-MOMBAS-111,Muthu Nyali Beach Hotel and Spa,Mombasa,http://www.nyali-international.com/,,,,,,,,,
KE-MOMBAS-114,The Tamarind Mombasa,Mombasa,https://tamarind.co.ke/tamarind-mombasa/,,,,,,,,,
