hotel_id,name,location,website_url,phone,current_amenities,description (write 2-3 sentences),price_range (budget/mid-range/luxury),price_min_usd,price_max_usd,"rating (0-5, only if you can verify one)",review_summary (1-2 sentences),nearby_attractions (comma-separated)
KE-MOMBAS-008,Sentrim Castle Royal Hotel,Mombasa,https://sentrimcastleroyalhotel.com-kenya.com/en/,+254 41 2228780,"wifi, air conditioning","Sentrim Castle Royal Hotel ✅ in Mombasa features spacious rooms, a restaurant and a 24-hour front desk. SGR Mombasa Station is within 9.9 miles.Each room has a balcony and is equipped with a digital safe, TV, telephone, a mini bar and a working desk. Free WiFi access is available.",mid-range (estimated),50,150,,,
KE-MOMBAS-003,Travellers Beach Hotel,Mombasa,https://www.travellersbeach.com/,+254 41 5485121,,"Relax on pristine white sands. Experience premier oceanfront rooms, gourmet dining, and holistic wellness treatments. 🏖️ Check our availability now!",mid-range (estimated),50,150,,,
KE-MOMBAS-010,The Reef hotel,Mombasa,https://reefhotelkenya.com/,(+254) 736 474 005,,Reef Hotel Mombasa Kenya. – A Coastal Gem Since 1972,mid-range (estimated),50,150,,,
KE-MOMBAS-087,Plaza Beach Hotel,Mombasa,https://www.plaza-beach.co.ke/,+254 723 661 008,,Plaza Beach Hotel,mid-range (estimated),50,150,,,
KE-MOMBAS-023,T/A Masters Hotel,Mombasa,http://www.safisafihotels.com,254786863004,wifi,"Situated in Mombasa, T/A Masters Hotel is a hotel known for wifi.",mid-range (estimated),50,150,,,
KE-MOMBAS-106,Kenya Bay Beach Hotel,Mombasa,http://www.kenyabay.com,+254 041 5487600;+254 725 991500,air conditioning,Kenya Bay Beach Hotel – Memorable Beach holidays,mid-range (estimated),50,150,,,
KE-MOMBAS-004,Bamburi Beach Hotel,Mombasa,https://bamburibeachkenya.com/,,,"BAMBURI BEACH HOTEL ⭐⭐⭐⭐⭐ Embrace the vacation of your dreams at Bamburi Beach Hotel and return home with beautiful memories of sun, sand, and African culture. Make memories, dance under the moonlight, and get ready for a story that will last a lifetime. Our Stunning 5 star beachfront property offers secluded views of the Indian",mid-range (estimated),50,150,,,
KE-MOMBAS-018,Premium Inn Hotel Mombasa,Mombasa,https://www.premiuminn.co.ke/,+254 768 444888,,"Discover elegance at Premium Inn Mombasa, where refined living meets unmatched comfort on Mombasa Island. Immerse yourself in the allure of our air-conditioned rooms with panoramic city views and indulge in culinary delights at our upscale restaurant. Explore local attractions with ease, thanks to o",mid-range (estimated),50,150,,,
KE-MOMBAS-077,Al-Yusra Palm Tree Hotel,Mombasa,https://palmtreehotel.co.ke/,+254 711 530 000,,Guests staying at Al-Yusra Palm Tree Hotel in Mombasa can expect a mid-range stay at this hotel.,mid-range (estimated),50,150,,,
KE-MOMBAS-107,Severin Sea Lodge,Mombasa,https://severinsealodge.com/,,,"Discover Severin Sea Lodge, where the Indian Ocean meets authentic Kenyan hospitality. Enjoy beachfront views and a blend of relaxation and adventure.",mid-range (estimated),50,150,,,
KE-MOMBAS-027,CDH Backpacker's,Mombasa,,+254722364148,wifi,"Situated in Mombasa, CDH Backpacker's is a hotel known for wifi.",mid-range (estimated),50,150,,,
KE-MOMBAS-091,Tulia Old Town,Mombasa,,+254 711 955955,wifi,"Situated in Mombasa, Tulia Old Town is a hotel known for wifi.",mid-range (estimated),50,150,,,
KE-MOMBAS-111,Muthu Nyali Beach Hotel and Spa,Mombasa,http://www.nyali-international.com/,,,"Muthu Nyali Beach Hotel and Spa, a hotel in Mombasa, provides a mid-range stay for travelers.",mid-range (estimated),50,150,,,
KE-MOMBAS-114,The Tamarind Mombasa,Mombasa,https://tamarind.co.ke/tamarind-mombasa/,,,"Situated in Mombasa, The Tamarind Mombasa is a hotel known for a mid-range stay.",mid-range (estimated),50,150,,,
KE-MOMBAS-007,Hotel Sapphire,Mombasa,,+254 11 494893,,"Hotel Sapphire is a hotel located in Mombasa, offering guests a mid-range stay.",mid-range (estimated),50,150,,,
KE-DIANI-001,Leopard Beach Resort & Spa,Diani,https://www.leopardbeachresort.com/,+254 (0) 724 255280,wifi,Award winning beach front resort on a prime location on Diani Beach on Kenya’s South Coast. Leopard Beach Resort offers both luxury hotel stay and up-market fully serviced villas.,mid-range (estimated),50,150,,,
KE-DIANI-024,Forest Dream Resort,Diani,http://www.forestdream.com/,+254403300220,wifi,"Forest Dream Resort is a hotel located in Diani, offering guests wifi.",mid-range (estimated),50,150,,,
KE-DIANI-067,Eleven Pearl Boutique Hotel & Spa,Diani,https://www.elevenpearl.co.ke/,0790728295,wifi,Eleven Pearl Diani,mid-range (estimated),50,150,,,
KE-DIANI-101,Bed&Breakfast Zarafa House,Diani,https://www.zarafahouse.co.ke/,00254757131135,wifi,"Your Home away from Home! The B&B is beautifully set in a private walled compound surrounded by a tropical garden with 2 giant Baobab trees. Book Your Stay Now Just a 10 minutes’ walk from the Indian Ocean, Zarafa House offers a tranquil haven to relax, unwind, enjoy the sun and soft white sands. view",mid-range (estimated),50,150,,,
KE-DIANI-123,Lala Galu Hotel (Reception),Diani,https://www.staylala.com,+254792057665,wifi,Guests staying at Lala Galu Hotel (Reception) in Diani can expect wifi at this hotel.,mid-range (estimated),50,150,,,
KE-DIANI-037,AfroChic Diani Beach by Elewana,Diani,https://www.elewanacollection.com/afrochic-diani-beach/afrochic-diani-at-a-glance,+254 733 645 564,,"AfroChic Diani Beach by Elewana, a hotel in Diani, provides a mid-range stay for travelers.",mid-range (estimated),50,150,,,
KE-DIANI-118,Soul Berrze Beach Resort,Diani,https://www.soulbreezebeachresort.com/,,"wifi, air conditioning","Welcome to Soul Breeze Beach Resort, located on the stunning Diani Beach. Here, we offer something for everyone, providing a range of accommodations to fit any budget. Come experience the perfect blend of comfort, convenience, and community in one of the world's most idyllic beach settings.",mid-range (estimated),50,150,,,
KE-DIANI-082,Kaskazi Beach Hotel,Diani,https://www.kaskazibeachhotel.co.ke/index.html,,,"This domain is hosted by KickHost. Secure, fast, and global cloud hosting. Get started with domain registration, WordPress hosting, or professional web design services.",mid-range (estimated),50,150,,,
KE-DIANI-098,Diani Beachalets,Diani,http://www.dianibeachalets.com/,+254 0729528344,,Welcome to Diani Beachalets Self Catering Cottages. Located on the unique Diani & Galu Beach of Kenya. Diani Beachalets is a small family owned business located on its own small corner of Diani Beach where the beach is yours. The Beachalets is the perfect beachfront stay where you can also book your safari and meet other travelers,mid-range (estimated),50,150,,,
KE-DIANI-106,Flamboyant Boutique Hotel,Diani,https://flamboyantdiani.com/,+254717849847,,"Set right on the sands of the best beach in Africa , Flamboyant Diani is a collection of five family beach homes each unique in charchter, tale and memory. Each Garden runs right to the sea, Pools and two on site restaurants where flip flops are the dress code.Take a room, take a house – […]",mid-range (estimated),50,150,,,
KE-DIANI-114,Southern Palms Beach Resort,Diani,https://www.southernpalmskenya.com/,0722 203166,,Southern Palms – Hotel Beach,mid-range (estimated),50,150,,,
KE-DIANI-124,Boxo Diani (Hotel),Diani,https://www.boxohotels.com/,+254759253507,,"For today's regional travelers who are constantly on the go and don't want to spend a fortune traveling, Boxo offers simple and affordable accommodations.",mid-range (estimated),50,150,,,
KE-DIANI-030,Diani Backpackers,Diani,https://www.dianibackpackers.com/,,wifi,"Diani Beach, Kenya's #1 hostel with the best accommodations and location. Book at Diani Backpackers, Diani Beach. Great rooms and rates and close to the beach.",mid-range (estimated),50,150,,,
KE-DIANI-002,Pinewood Village Beach Resort,Diani,https://www.pinewood-beach.com/,,,Pinewood Beach Resort & Spa – An Unforgettable escape to Kenya's Diani Beach,mid-range (estimated),50,150,,,
