hotel_id,name,location,priority,website_url,needs_description,needs_price,needs_rating,description,price_range,rating,review_summary,nearby_attractions
KE-DIANI-052,Aestus Villas Resort,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-037,AfroChic Diani Beach by Elewana,Diani,HIGH,https://www.elewanacollection.com/afrochic-diani-beach/afrochic-diani-at-a-glance,YES,YES,YES,,,,,
KE-DIANI-075,Akiki Apartments & Villa,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-025,Alliance Safari Beach Hotel,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-032,Almanara Luxury Villas,Diani,HIGH,https://www.almanararesort.com,YES,YES,YES,,,,,
KE-DIANI-007,Alymira Holiday inn,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-068,Amani Luxury Apartments,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-036,Angara House,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-088,Bahari Dhow Beach Villas,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-003,Baobab Beach Resort,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-101,Bed&Breakfast Zarafa House,Diani,HIGH,https://www.zarafahouse.co.ke/,YES,YES,YES,,,,,
KE-DIANI-031,Blue Marlin Beach Resort,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-084,Blue Swallow,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-103,Boxo Diani,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-124,Boxo Diani (Hotel),Diani,HIGH,https://www.boxohotels.com/,YES,YES,YES,,,,,
KE-DIANI-061,CS Gisimba Villas,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-122,Casa el Norte,Diani,HIGH,https://www.casaelnorte.com/,YES,YES,YES,,,,,
KE-DIANI-029,Cinders House,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-085,Classic Guest House,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-026,Coral Beach Cottages & Apartments,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-086,Diamonds Leisure Beach & Golf Resort,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-021,Diamonds Leisure Lodge Golf & Beach Resort,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-030,Diani Backpackers,Diani,HIGH,https://www.dianibackpackers.com/,YES,YES,YES,,,,,
KE-DIANI-098,Diani Beachalets,Diani,HIGH,http://www.dianibeachalets.com/,YES,YES,YES,,,,,
KE-DIANI-077,Diani Blue,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-076,Diani Breeze Villas,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-120,Diani Hostel,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-073,"Diani House,Diani Beach Kenya",Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-028,Diani Marine Divers Village,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-074,Diani Place Fully Furnished Apartments,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-004,Diani Sea Lodge,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-048,Diani Star Beds,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-092,Diani Ukunda Holiday Homes,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-008,Diani forest Lodge,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-067,Eleven Pearl Boutique Hotel & Spa,Diani,HIGH,https://www.elevenpearl.co.ke/,YES,YES,YES,,,,,
KE-DIANI-112,Fabio house,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-106,Flamboyant Boutique Hotel,Diani,HIGH,https://flamboyantdiani.com/,YES,YES,YES,,,,,
KE-DIANI-039,Footprints House,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-024,Forest Dream Resort,Diani,HIGH,http://www.forestdream.com/,YES,YES,YES,,,,,
KE-DIANI-066,Four Twenty South,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-116,Galu 723 - Private Ocean Club,Diani,HIGH,https://galu723.com/,YES,YES,YES,,,,,
KE-DIANI-047,Galu Gardens Apartments,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-064,Galu Inn,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-110,Gianni House,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-117,Gift Guest House,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-089,Golden Beach Apartments,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-079,Golden Duranta Villas,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-040,Golf vila,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-009,Gombato Lodge,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-080,HAMI Diani (Paradise) Villas,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-015,Hotel - Asins,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-045,Hotel Sonrisa,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-012,IMARIKA SACCO LTD-UKUNDA BRANCH,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-090,Indian Ocean Beach Club,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-111,Ivana House,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-113,Jacaranda Indian Ocean Beach Resort,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-060,Julia massage parlour,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-055,Karibu Villa,Diani,HIGH,,YES,YES,YES,,,,,
KE-DIANI-020,Kaskazi Beach,Diani,HIGH,,YES,YES,YES,,,,,
